Town,TOPSIS Score,Water Quality Category
Igbogene 1,0.5215071518289398,Low Quality
Yenagwe1,0.4828538578852335,Medium Quality
Yenagwe 2,0.4216232605415365,Low Quality
Akenfa 1,0.47027041075432197,Medium Quality
Etegwe 1,0.48798263751796356,Medium Quality
Biogbolo 1,0.5099089963088058,Medium Quality
Kpansia 1,0.5134266438467218,Medium Quality
Kpansia 1,0.5659426080224929,Medium Quality
Kpansia 1,0.5134266438467218,Low Quality
Kpansia 1,0.5659426080224929,Low Quality
Ekeki 1,0.4413194189029347,Medium Quality
Yenizue Epie 1,0.4017544501740191,Low Quality
Amarata 1,0.5753517353873137,Low Quality
Swail 1,0.394874925860713,Low Quality
Ogbogoro 1,0.4750950357082992,Medium Quality
Ogu 1,0.5394151270226475,Medium Quality
Akaba 1,0.4369796425702719,Medium Quality
Igbogene 2,0.47530191073242806,Medium Quality
Akenfa 2,0.5594013573738502,High Quality
Agudama 1,0.6038746496356667,High Quality
Agudama 2,0.5803538933343718,High Quality
Etegwe 2,0.4608903150831496,Medium Quality
Okutukutu 1,0.5225209200798162,Medium Quality
Opolo 1,0.5412518469456288,High Quality
Opolo 2,0.5703690232212559,High Quality
Kpansia 2,0.519045979290307,Medium Quality
Yenizue Epie 2,0.5964149857489288,High Quality
Amarata 2,0.5117044386254811,Medium Quality
Swail 2,0.5016880166967508,Medium Quality
Akaba 2,0.5657307843393805,High Quality
Ogbogoro 2,0.5394151270226475,Medium Quality
Ogu 2,0.4964756358295211,High Quality
Akaibiri 1,0.4956074306563049,Medium Quality
Akaibiri 1,0.4711892935840581,Medium Quality
Akaibiri 1,0.4956074306563049,Low Quality
Akaibiri 1,0.4711892935840581,Low Quality
Gbarantoru 1,0.5179980502553098,Low Quality
Gbarantoru 2,0.49729648222946754,Low Quality
Gbarantoru 3,0.4823508502583987,Medium Quality
Gbarantoru 4,0.5236183292859975,Low Quality
Gbarantoru 5,0.5106791961596944,Low Quality
Ogbuna 1,0.461711742648827,Low Quality
Ogbuna 2,0.5031598257840647,Medium Quality
Ogbuna 3,0.4928276502796664,Low Quality
Ogbuna 4,0.5368398515214005,Medium Quality
Okolobiri 1,0.5444034262470002,High Quality
Okolobiri 2,0.46586011027633767,Low Quality
Okolobiri 3,0.4792607423036455,Low Quality
Okolobiri 4,0.4802808355244749,Low Quality
Okolobiri 5,0.4838337177685743,Low Quality
Tombia 1,0.4927385592525167,Low Quality
Tombia 2,0.5229309760755936,Low Quality
Tombia 3,0.5464775807331796,Low Quality
Tombia 4,0.5157169023070841,Low Quality
