,Town,TOPSIS Score,Water Quality Category
0,Igbogene 1,0.5215071518289398,Low Quality
1,Yenagwe1,0.4828538578852335,Medium Quality
2,Yenagwe 2,0.4216232605415365,Low Quality
3,Akenfa 1,0.47027041075432197,Medium Quality
4,Etegwe 1,0.48798263751796356,Medium Quality
5,Biogbolo 1,0.5099089963088058,Medium Quality
6,Kpansia 1,0.5134266438467218,Medium Quality
7,Kpansia 1,0.5659426080224929,Medium Quality
8,Kpansia 1,0.5134266438467218,Low Quality
9,Kpansia 1,0.5659426080224929,Low Quality
10,Ekeki 1,0.4413194189029347,Medium Quality
11,Yenizue Epie 1,0.4017544501740191,Low Quality
12,Amarata 1,0.5753517353873137,Low Quality
13,Swail 1,0.394874925860713,Low Quality
14,Ogbogoro 1,0.4750950357082992,Medium Quality
15,Ogu 1,0.5394151270226475,Medium Quality
16,Akaba 1,0.4369796425702719,Medium Quality
17,Igbogene 2,0.47530191073242806,Medium Quality
18,Akenfa 2,0.5594013573738502,High Quality
19,Agudama 1,0.6038746496356667,High Quality
20,Agudama 2,0.5803538933343718,High Quality
21,Etegwe 2,0.4608903150831496,Medium Quality
22,Okutukutu 1,0.5225209200798162,Medium Quality
23,Opolo 1,0.5412518469456288,High Quality
24,Opolo 2,0.5703690232212559,High Quality
25,Kpansia 2,0.519045979290307,Medium Quality
26,Yenizue Epie 2,0.5964149857489288,High Quality
27,Amarata 2,0.5117044386254811,Medium Quality
28,Swail 2,0.5016880166967508,Medium Quality
29,Akaba 2,0.5657307843393805,High Quality
30,Ogbogoro 2,0.5394151270226475,Medium Quality
31,Ogu 2,0.4964756358295211,High Quality
32,Akaibiri 1,0.4956074306563049,Medium Quality
33,Akaibiri 1,0.4711892935840581,Medium Quality
34,Akaibiri 1,0.4956074306563049,Low Quality
35,Akaibiri 1,0.4711892935840581,Low Quality
36,Gbarantoru 1,0.5179980502553098,Low Quality
37,Gbarantoru 2,0.49729648222946754,Low Quality
38,Gbarantoru 3,0.4823508502583987,Medium Quality
39,Gbarantoru 4,0.5236183292859975,Low Quality
40,Gbarantoru 5,0.5106791961596944,Low Quality
41,Ogbuna 1,0.461711742648827,Low Quality
42,Ogbuna 2,0.5031598257840647,Medium Quality
43,Ogbuna 3,0.4928276502796664,Low Quality
44,Ogbuna 4,0.5368398515214005,Medium Quality
45,Okolobiri 1,0.5444034262470002,High Quality
46,Okolobiri 2,0.46586011027633767,Low Quality
47,Okolobiri 3,0.4792607423036455,Low Quality
48,Okolobiri 4,0.4802808355244749,Low Quality
49,Okolobiri 5,0.4838337177685743,Low Quality
50,Tombia 1,0.4927385592525167,Low Quality
51,Tombia 2,0.5229309760755936,Low Quality
52,Tombia 3,0.5464775807331796,Low Quality
53,Tombia 4,0.5157169023070841,Low Quality
