Town,pH,EC,TDS,NO3,Cl,SO4,TA,TH,Ca,Mg,Na,K,Iron
Igbogene 1,0.3969465648854964,0.20888888888888887,0.2093908629441624,0.6844660194174758,0.3780487804878049,0.10646387832699616,0.92,0.07894736842105263,0.3121883103929782,0.41727272727272724,0.28565689031739655,0.5341246290801187,0.7101449275362317
Yenagwe1,0.5343511450381682,0.4050793650793651,0.4035532994923858,0.21116504854368934,0.08536585365853658,0.0494296577946768,0.48,0.18421052631578946,0.03490923598643525,0.06545454545454546,0.010044194455604671,0.12759643916913946,0.043478260869565216
Yenagwe 2,0.5954198473282437,0.49523809523809526,0.4974619289340101,0.6237864077669903,0.15853658536585366,0.1321292775665399,0.56,0.04210526315789474,0.1386395372032715,0.1127272727272727,0.11048613901165127,0.14094955489614241,0.4202898550724637
Akenfa 1,0.3816793893129766,0.44761904761904764,0.4479695431472081,0.2354368932038835,0.07317073170731708,0.05513307984790873,0.64,0.14210526315789473,0.04189108318372231,0.06727272727272729,0.04419445560466051,0.02373887240356083,0.3768115942028985
Etegwe 1,0.2977099236641223,0.05523809523809523,0.055837563451776644,0.21116504854368934,0.07317073170731708,0.05133079847908743,0.0,0.13157894736842105,0.036904049471374406,0.09090909090909091,0.03173965447971075,0.08902077151335311,0.39130434782608686
Biogbolo 1,0.25190839694656475,0.062222222222222213,0.058375634517766485,0.03883495145631069,0.0975609756097561,0.019011406844106456,0.08000000000000002,0.11578947368421053,0.04488330341113106,0.09909090909090909,0.05825632784250706,0.11869436201780414,0.27536231884057966
Kpansia 1,0.0,0.4355555555555556,0.43781725888324874,0.016990291262135943,0.07317073170731708,0.01615969581749049,0.52,0.10526315789473684,0.01296628765210453,0.056363636363636366,0.03977501004419448,0.08902077151335311,0.0579710144927536
Ekeki 1,0.8320610687022905,0.6850793650793651,0.6852791878172588,0.04368932038834952,0.17073170731707318,0.020912547528517105,0.48,0.18947368421052632,0.11430281268701376,0.1690909090909091,0.08236239453595823,0.17804154302670624,0.3478260869565217
Kpansia 1,0.4122137404580153,0.1219047619047619,0.1230964467005076,0.6553398058252428,0.3170731707317074,0.13973384030418248,0.52,0.4789473684210526,0.2643127867544384,0.35363636363636364,0.2490960224989956,0.5044510385756676,0.043478260869565216
Yenizue Epie 1,0.8702290076335881,1.0,0.9999999999999999,0.8300970873786407,0.47560975609756106,0.1730038022813688,0.48,0.18421052631578946,0.4211051266706563,0.5218181818181818,0.3949377259943753,0.6008902077151336,0.36231884057971003
Amarata 1,0.34351145038167896,0.21904761904761902,0.21954314720812182,0.3058252427184466,0.35365853658536583,0.06463878326996196,0.6,0.4263157894736842,0.293836026331538,0.4036363636363637,0.24467657693852957,0.2997032640949555,0.07246376811594202
Swail 1,0.9694656488549613,0.40952380952380957,0.4098984771573604,1.0,0.1829268292682927,0.20627376425855512,0.24,0.12105263157894736,0.19928186714542184,0.24000000000000002,0.15468059461631178,0.28189910979228483,0.36231884057971003
Ogbogoro 1,0.6335877862595414,0.5403174603174603,0.5406091370558376,0.0,0.0975609756097561,0.01045627376425855,0.6,0.08947368421052632,0.048872930381009344,0.07454545454545455,0.06629168340699079,0.17804154302670624,0.21739130434782605
Ogu 1,0.45801526717557284,0.052698412698412696,0.0532994923857868,0.2038834951456311,0.19512195121951223,0.0494296577946768,0.36,0.2421052631578947,0.15579493317374826,0.18545454545454546,0.09039775010044196,0.24629080118694355,0.014492753623188387
Akaba 1,1.0,0.28761904761904766,0.2880710659898477,0.22330097087378648,0.0,0.05513307984790873,0.0,0.02631578947368421,0.0,0.0,0.00401767778224188,0.0,0.10144927536231879
Igbogene 2,0.5572519083969469,0.26603174603174606,0.26649746192893403,0.14320388349514568,0.06097560975609756,0.09505703422053231,0.2,0.2894736842105263,0.028126870137642118,0.06,0.08316593009240661,0.172106824925816,0.40579710144927533
Akenfa 2,0.4045801526717554,0.05523809523809523,0.055837563451776644,0.638349514563107,0.5731707317073171,0.5057034220532318,0.24,0.43684210526315786,0.5429882306004388,0.6309090909090909,0.4881478505423866,0.7091988130563798,0.4202898550724637
Agudama 1,0.2137404580152671,0.16317460317460317,0.16370558375634517,0.3689320388349515,0.6097560975609757,0.4961977186311787,0.52,1.0,0.5535607420706163,0.6436363636363636,0.5484130172760144,0.712166172106825,0.8550724637681157
Agudama 2,0.3129770992366412,0.060952380952380945,0.06218274111675127,0.34466019417475735,0.46341463414634154,0.38973384030418246,0.56,0.6210526315789473,0.4159186116098145,0.5172727272727273,0.3933306548814785,0.6676557863501483,0.826086956521739
Etegwe 2,0.2977099236641223,0.05523809523809523,0.055837563451776644,0.21116504854368934,0.07317073170731708,0.05133079847908743,0.0,0.13157894736842105,0.036904049471374406,0.09090909090909091,0.03173965447971075,0.08902077151335311,0.9999999999999998
Okutukutu 1,0.1908396946564883,0.008888888888888884,0.010152284263959387,0.13106796116504854,0.07317073170731708,0.10836501901140683,0.44000000000000006,0.2421052631578947,0.04049471374426489,0.018181818181818188,0.03495379670550425,0.02670623145400594,0.3043478260869565
Opolo 1,0.25190839694656475,0.004444444444444438,0.00507614213197969,0.7184466019417476,0.426829268292683,0.2965779467680608,0.76,0.42105263157894735,0.39876321563933764,0.42181818181818187,0.34873443149859384,0.3115727002967359,0.7826086956521738
Opolo 2,0.5954198473282437,0.010793650793650793,0.012690355329949235,0.8058252427184466,0.6951219512195123,0.5057034220532318,0.84,0.5526315789473684,0.5755036904049471,0.5345454545454545,0.4479710727199679,0.712166172106825,0.4202898550724637
Kpansia 2,0.1984732824427482,0.17206349206349206,0.17258883248730963,0.11893203883495146,0.07317073170731708,0.10456273764258553,0.36,0.08421052631578949,0.05485737083582684,0.08000000000000002,0.044596223382884714,0.11275964391691395,0.0
Yenizue Epie 2,0.6106870229007635,0.21904761904761902,0.21954314720812182,0.5825242718446603,1.0,0.9999999999999999,0.76,0.7263157894736842,1.0,0.9999999999999999,1.0000000000000002,1.0,0.47826086956521735
Amarata 2,0.8702290076335881,0.07428571428571429,0.07487309644670051,0.2645631067961165,0.17073170731707318,0.0,0.28,0.19473684210526315,0.11849192100538597,0.22181818181818183,0.10566492567296104,0.27002967359050445,0.002898550724637683
Swail 2,0.6564885496183201,0.2596825396825397,0.26015228426395937,0.22815533980582525,0.13414634146341464,0.12927756653992392,0.56,0.5578947368421052,0.09036505086774385,0.16181818181818183,0.06548814785054238,0.10979228486646886,0.3478260869565217
Akaba 2,0.2977099236641223,0.0,0.0,0.3276699029126213,0.3902439024390244,0.3536121673003802,0.44000000000000006,0.5315789473684212,0.34131258727308994,0.36,0.35476094817195664,0.28931750741839757,0.4202898550724637
Ogbogoro 2,0.45801526717557284,0.052698412698412696,0.0532994923857868,0.2038834951456311,0.19512195121951223,0.0494296577946768,0.36,0.2421052631578947,0.15579493317374826,0.18545454545454546,0.09039775010044196,0.24629080118694355,0.014492753623188387
Ogu 2,0.5190839694656493,0.06031746031746032,0.06091370558375634,0.6553398058252428,0.5365853658536586,0.4724334600760456,0.04000000000000001,0.1631578947368421,0.4594055455814881,0.46545454545454545,0.5202892728003214,0.5637982195845698,0.4637681159420289
Akaibiri 1,0.4122137404580153,0.13206349206349205,0.13197969543147206,0.3398058252427185,0.07317073170731708,0.2091254752851711,0.56,0.0368421052631579,0.07181328545780968,0.10090909090909092,0.06950582563278429,0.1661721068249258,0.28985507246376807
Akaibiri 1,0.7557251908396942,0.1765079365079365,0.17766497461928932,0.37135922330097093,0.14634146341463414,0.306083650190114,0.6,0.12631578947368421,0.1518053062038699,0.16181818181818183,0.15468059461631178,0.10385756676557864,0.3681159420289854
Gbarantoru 1,0.3129770992366412,0.21777777777777776,0.21827411167512686,0.5631067961165049,0.14634146341463414,0.3536121673003802,0.68,0.2210526315789474,0.13066028326351486,0.22181818181818183,0.11048613901165127,0.2967359050445104,0.03768115942028985
Gbarantoru 2,0.2824427480916025,0.32126984126984126,0.3223350253807106,0.5825242718446603,0.3170731707317074,0.42965779467680604,0.6,0.2,0.30779972072611206,0.3563636363636363,0.22900763358778625,0.32640949554896137,0.3043478260869565
Gbarantoru 3,0.2748091603053435,0.18158730158730158,0.182741116751269,0.34466019417475735,0.14634146341463414,0.33935361216730037,0.36,0.1368421052631579,0.15858767205266305,0.06999999999999998,0.12414624347127362,0.172106824925816,0.36231884057971003
Gbarantoru 4,0.24427480916030575,0.1822222222222222,0.182741116751269,0.3689320388349515,0.2682926829268293,0.3193916349809886,0.56,0.10526315789473684,0.14103331338519848,0.28181818181818186,0.18481317798312574,0.23442136498516322,0.031884057971014484
Gbarantoru 5,0.4198473282442752,0.14793650793650792,0.14847715736040606,0.2888349514563107,0.048780487804878064,0.2585551330798479,0.6,0.08421052631578949,0.21404348693397168,0.044545454545454555,0.06709521896343915,0.3857566765578635,0.39130434782608686
Ogbuna 1,0.6793893129770989,0.19174603174603175,0.19162436548223347,0.4684466019417477,0.06097560975609756,0.38212927756653986,0.56,0.17368421052631577,0.05425892679034511,0.09818181818181818,0.06870229007633588,0.18545994065281898,0.34492753623188394
Ogbuna 2,0.5725190839694649,0.14412698412698413,0.1446700507614213,0.23786407766990292,0.07317073170731708,0.19581749049429653,0.6,0.08947368421052632,0.06882106523040094,0.1127272727272727,0.048613901165126566,0.12017804154302669,0.11014492753623184
Ogbuna 3,0.7022900763358777,0.12825396825396823,0.1294416243654822,0.25970873786407767,0.03658536585365854,0.25570342205323193,0.8,0.10526315789473684,0.06044284859365648,0.07272727272727272,0.0,0.19584569732937682,0.36231884057971003
Ogbuna 4,0.36641221374045774,0.13206349206349205,0.133248730964467,0.10436893203883496,0.048780487804878064,0.21863117870722432,0.48,0.05789473684210526,0.03490923598643525,0.07454545454545455,0.023704298915227018,0.9465875370919881,0.37971014492753613
Okolobiri 1,0.4198473282442752,0.19365079365079363,0.19416243654822332,0.4854368932038836,0.6585365853658537,0.4334600760456273,0.56,0.17368421052631577,0.518850987432675,0.8145454545454546,0.5998392928887104,0.28189910979228483,0.4028985507246376
Okolobiri 2,0.2977099236641223,0.24126984126984127,0.29949238578680204,0.6067961165048544,0.0975609756097561,0.4249049429657794,0.56,0.17894736842105263,0.1366447237183323,0.16,0.14985938127762155,0.08902077151335311,0.38260869565217387
Okolobiri 3,0.7633587786259541,0.17206349206349206,0.17258883248730963,0.49271844660194186,0.048780487804878064,0.338403041825095,0.92,0.1631578947368421,0.05585477757829643,0.09818181818181818,0.03897147448774607,0.13056379821958455,0.3159420289855072
Okolobiri 4,0.9389312977099236,0.1403174603174603,0.20431472081218274,0.3373786407766991,0.048780487804878064,0.3307984790874524,0.8,0.13157894736842105,0.05046878116896067,0.0018181818181818299,0.06870229007633588,0.09495548961424333,0.05217391304347824
Okolobiri 5,0.778625954198473,0.14539682539682539,0.1459390862944162,0.36165048543689327,0.06097560975609756,0.3536121673003802,1.0,0.13157894736842105,0.07121484141232795,0.030909090909090914,0.04218561671353957,0.08902077151335311,0.3420289855072463
Tombia 1,0.4885496183206106,0.2279365079365079,0.22842639593908629,0.5145631067961165,0.07317073170731708,0.30228136882129275,0.84,0.18421052631578946,0.06243766207859566,0.1127272727272727,0.08035355564483729,0.24480712166172106,0.3188405797101449
Tombia 2,0.36641221374045774,0.146031746031746,0.14720812182741114,0.33009708737864074,0.15853658536585366,0.27756653992395436,0.72,0.06315789473684211,0.12966287652104524,0.23454545454545453,0.1137002812374448,0.4658753709198813,0.40579710144927533
Tombia 3,0.3816793893129766,0.18984126984126984,0.19035532994923857,0.40533980582524276,0.29268292682926833,0.3536121673003802,0.76,0.047368421052631574,0.23877917414721717,0.3518181818181818,0.22539172358376858,0.49851632047477745,0.03768115942028985
Tombia 4,0.05343511450381655,0.17777777777777776,0.17766497461928932,0.3810679611650486,0.30487804878048785,0.33935361216730037,0.6,0.0,0.25034909235986436,0.36909090909090914,0.23704298915227,0.14094955489614241,0.3942028985507246
