,Town,TOPSIS Score,Rank
17,Agudama 1,0.6038746496356667,1
24,Yenizue Epie 2,0.5964149857489288,2
18,Agudama 2,0.5803538933343718,3
10,Amarata 1,0.5753517353873137,4
22,Opolo 2,0.5703690232212559,5
8,Kpansia 1,0.5659426080224929,6
27,Akaba 2,0.5657307843393805,7
16,Akenfa 2,0.5594013573738502,8
48,Tombia 3,0.5464775807331796,9
41,Okolobiri 1,0.5444034262470002,10
21,Opolo 1,0.5412518469456288,11
13,Ogu 1,0.5394151270226475,12
28,Ogbogoro 2,0.5394151270226475,12
40,Ogbuna 4,0.5368398515214005,14
35,Gbarantoru 4,0.5236183292859975,15
47,Tombia 2,0.5229309760755936,16
20,Okutukutu 1,0.5225209200798162,17
0,Igbogene 1,0.5215071518289398,18
23,Kpansia 2,0.519045979290307,19
32,Gbarantoru 1,0.5179980502553098,20
49,Tombia 4,0.5157169023070841,21
6,Kpansia 1,0.5134266438467218,22
25,Amarata 2,0.5117044386254811,23
36,Gbarantoru 5,0.5106791961596944,24
5,Biogbolo 1,0.5099089963088058,25
38,Ogbuna 2,0.5031598257840647,26
26,Swail 2,0.5016880166967508,27
33,Gbarantoru 2,0.49729648222946754,28
29,Ogu 2,0.4964756358295211,29
30,Akaibiri 1,0.4956074306563049,30
39,Ogbuna 3,0.4928276502796664,31
46,Tombia 1,0.4927385592525167,32
4,Etegwe 1,0.48798263751796356,33
45,Okolobiri 5,0.4838337177685743,34
1,Yenagwe1,0.4828538578852335,35
34,Gbarantoru 3,0.4823508502583987,36
44,Okolobiri 4,0.4802808355244749,37
43,Okolobiri 3,0.4792607423036455,38
15,Igbogene 2,0.47530191073242806,39
12,Ogbogoro 1,0.4750950357082992,40
31,Akaibiri 1,0.4711892935840581,41
3,Akenfa 1,0.47027041075432197,42
42,Okolobiri 2,0.46586011027633767,43
37,Ogbuna 1,0.461711742648827,44
19,Etegwe 2,0.4608903150831496,45
7,Ekeki 1,0.4413194189029347,46
14,Akaba 1,0.4369796425702719,47
2,Yenagwe 2,0.4216232605415365,48
9,Yenizue Epie 1,0.4017544501740191,49
11,Swail 1,0.394874925860713,50
